	id	sentence1	sentence2	avg
0	ACN2_111	Atorga per primer cop les mencions Encarna Sanahuja a la inclusió de la perspectiva de gènere en docència Universitària	Creen la menció M. Encarna Sanahuja a la inclusió de la perspectiva de gènere en docència universitària	3.5
1	Oscar2_211	Finalment, afegiu-hi els bolets que haureu saltat en una paella amb oli i deixeu-ho coure tot junt durant 5 minuts.	Finalment, poseu-hi les minipastanagues tallades a dauets, els pèsols, rectifiqueu-ho de sal i deixeu-ho coure tot junt durant un parell de minuts més.	1.25
2	ACN2_574	El TC suspèn el pla d'acció exterior i de relacions amb la UE de la Generalitat	El Constitucional manté la suspensió del pla estratègic d'acció exterior i relacions amb la UE	3.67
3	Viqui2_341	Virgin Galactic va ser fundada el 2004 per l'empresari britànic Richard Branson, que havia fundat prèviament l'aerolínia Virgin Atlantic i Virgin Group.	Virgin Atlantic és una de les aerolínies de Richard Branson, propietari de Virgin Group.	2.25
4	ACN2_1184	Identifiquen un nou biomarcador per realitzar tractaments personalitzats contra el càncer	Nous tractaments contra el càncer de mama	2.0
5	Viqui2_854	Limita al nord amb els municipis de San Ignacio, al sud amb Rosario, a l'oest amb Oceà Pacífic i a l'est amb Durango.	Limita al nord amb els municipis de Escuinapa, al sud amb San Ignacio, a l'oest amb Mazatlán i a l'est amb Durango.	2.75
6	ACN2_712	Els fets han tingut lloc poc abans de les vuit del vespre a la carretera C-13	Els fets han tingut lloc a la carretera B-150, poc després de dos quarts de vuit del vespre	2.67
7	Viqui2_279	Es construeix en planta quadrangular i murs paredats.	Es tracta d'un edifici exteriorment de planta rectangular.	2.5
8	ACN2_888	Luis Miguel actuarà al Palau Sant Jordi el proper 8 de juliol	Manuel Carrasco actuarà el 12 de juny al Palau Sant Jordi	2.5
9	Viqui2_193	En el procés de despolarització, la càrrega interna negativa de la cèl·lula temporalment esdevé més positiva (menys negativa).	La cèl·lula experimenta un canvi en distribució de càrrega elèctrica, resultant una disminució de càrrega negativa dins de la cèl·lula.	3.0
10	ACN2_242	El SEM ha atès 51 persones en el dispositiu del 21-D, 46 per contusions	El SEM ha atès 62 persones en el dispositiu del 21-D, 57 per contusions	3.0
11	Oscar2_583	Quan tenies quinze anys, ta mare en tenia trenta-nou.	Compara't amb com eres quan tenies trenta anys, o quinze.	1.0
12	ACN2_444	A judici el cas dels joves d'Altsasu: La Fiscalia demana 375 anys de presó per terrorisme per una baralla de bar	El cas dels joves d'Altsasu acusats de terrorisme, vist per a sentència	2.0
13	Oscar2_6	El curs virtual té una durada de 8 mesos dividits en períodes d'aprenentatge de 2 setmanes (quinzenes didàctiques: QD ).	El curs virtual Narrativa té una durada de 8 mesos dividits en períodes d'aprenentatge de 15 dies (quinzenes didàctiques ).	4.0
14	ACN2_174	Els Bombers treballen en un incendi forestal a Blanes	Els Bombers treballen en un incendi forestal a Tortosa	3.0
15	Viqui2_695	Patxi Hernández Hernández (Sant Sebastià, 3 de novembre de 1967) és un exfutbolista basc, que ocupava la posició de porter.	Juan Ugarte (Sant Sebastià, 7 de novembre de 1982) és un exfutbolista basc, que ocupava la posició de davanter.	2.75
16	ACN2_680	La borsa espanyola es manté en verd i obre amb un increment del 3,5%	La borsa espanyola es recupera i tanca amb una pujada del 6,4%	2.0
17	TE2_64	Les comarques lleidatanes encadenen 48mesos seguits de caigudes, des del juny del 2013.	Les comarques lleidatanes encadenen 58 mesos de caigudes interanuals, des del juny del 2013	3.0
18	ACN2_64	El TSJC confirma que l'asseguradora del caçador que va matar dos agents rurals a Aspa ha de pagar 300.000 euros als familiars	L'asseguradora del caçador que va matar dos agents rurals a Aspa rebutja al TSJC fer front als 300.000 euros d'indemnització	2.0
19	TE2_2	FIFA 16 és un videojoc de futbol desenvolupat per EA Canada i publicat per EA Sports.	FIFA 17 és un videojoc de futbol desenvolupat per EA Canada i publicat per EA Sports.	3.75
20	ACN2_827	L'aeroport del Prat supera els tres milions de passatgers per segon novembre consecutiu	L'aeroport del Prat supera per primer cop els 3 milions de viatgers en un mes de febrer	2.75
21	ACN2_1176	El tram ferroviari entre Tàrrega i Cervera de la línia Barcelona-Manresa-Lleida es farà per carretera aquest estiu	Territori finalitza la senyalització del tram entre Lleida i Cervera de la via cicloturística InterCatalunya	1.67
22	Oscar2_21	**** Tots els nostres professors es desplacen per impartir classes de tots els nivells segons les necessitats de cada empresa.	FORMACIÓ PER EMPRESES: Els nostres professors es desplacen per impartir classes de tots els nivells, segons les necessitats de cada empresa.	4.5
23	Viqui2_350	L'edifici presenta decoracions de totxo amb diferents colors i bonics esgrafiats de color groc i blanc amb motius vegetals i d'oficis.	Són tres fileres de rajoles i teules decorades amb elements pintats en els colors vermell i blanc, amb motius geomètrics, vegetalsi animals.	1.75
24	ACN2_589	Fins a Balenyà s'hi ha desplaçat un helicòpter amb efectius dels GRAE i del GEM. La dona ha estat evacuada per aire a l'Hospital de Vic.	La dona ha estat evacuada en helicòpter medicalitzat a l'Hospital de Bellvitge	2.75
25	TE2_231	Ha viscut sempre a Manacor on ha col·laborat a la premsa amb articles literaris i d'opinió.	Ha col·laborat en la premsa de Palma.	2.25
26	ACN2_992	El PSOE canvia el lema per “Estem molt a prop” i Sánchez demana mobilització davant el “perill real” de la dreta	10-N: Sánchez demana un vot “útil i valent” pel PSOE davant la ultradreta	2.0
27	ACN2_470	La neu s'ha deixat veure a totes les cotes amb gruixos que superen els 15 centímetres	La neu es deixa veure a tot el Pirineu amb acumulacions de fins a 30 centímetres a cotes altes	2.5
28	ACN2_1103	Aprovada la delimitació de l’entorn de protecció del Castell de Miravet	Aprovada la protecció de l’entorn de la capella del Sant Sepulcre, a Olèrdola	2.25
29	ACN2_799	ERC consultarà a les bases el suport a Pedro Sánchez	Els pressupostos de Sánchez i les controvèrsies de Cs amb el pacte PP-Vox	1.0
30	ACN2_133	Els Mossos d’Esquadra investiguen les circumstàncies del sinistre	Els Mossos d’Esquadra investiguen els fets	4.67
31	TE2_156	Entre aquests estats hi haurà els Estats Units, França, el Regne Unit, Alemanya i Itàlia.	El Regne Unit, Alemanya, França, Mèxic o els Estats Units són alguns dels països on hi haurà mobilitzacions	2.5
32	Viqui2_147	Participaren un total de 28 patinadores de velocitat de 13 comitès nacionals diferents.	Participaren un total de 28 patinadors de velocitat de 16 comitès nacionals diferents.	3.0
34	TE2_63	Pel que fa a clubs, destacà a FICA.	Pel que fa a clubs, destacà a Interclube.	3.25
